"DOCR_RespParam","DOCL_RespParam","R_auto","BurialFactor_R","BurialFactor_L","POC_lcR","POC_lcL","N","collinearity"
1,1,0,0,0,0,0,2,7.68491358079107
1,0,1,0,0,0,0,2,7.91110478853375
1,0,0,1,0,0,0,2,7.97723332048039
1,0,0,0,1,0,0,2,7.93514502647973
1,0,0,0,0,1,0,2,7.96153376327891
1,0,0,0,0,0,1,2,7.93787216440918
0,1,1,0,0,0,0,2,68.8553600886634
0,1,0,1,0,0,0,2,6.53874352194437
0,1,0,0,1,0,0,2,68.6322034279247
0,1,0,0,0,1,0,2,6.56241721492356
0,1,0,0,0,0,1,2,68.4529505276119
0,0,1,1,0,0,0,2,6.68775942434925
0,0,1,0,1,0,0,2,1482.89600203912
0,0,1,0,0,1,0,2,6.71119853639389
0,0,1,0,0,0,1,2,1537.69198130562
0,0,0,1,1,0,0,2,6.70415792389226
0,0,0,1,0,1,0,2,861.25615826287
0,0,0,1,0,0,1,2,6.71426020936528
0,0,0,0,1,1,0,2,6.72761324440106
0,0,0,0,1,0,1,2,1798.33196940463
0,0,0,0,0,1,1,2,6.73787784499568
1,1,1,0,0,0,0,3,71.2834531698913
1,1,0,1,0,0,0,3,8.47812142471901
1,1,0,0,1,0,0,3,71.5900256810216
1,1,0,0,0,1,0,3,8.44735996607719
1,1,0,0,0,0,1,3,71.4531898369714
1,0,1,1,0,0,0,3,8.55305127046406
1,0,1,0,1,0,0,3,1805.03640313253
1,0,1,0,0,1,0,3,8.52361931499511
1,0,1,0,0,0,1,3,2042.20825988504
1,0,0,1,1,0,0,3,8.56131782354181
1,0,0,1,0,1,0,3,881.631942505806
1,0,0,1,0,0,1,3,8.55654845576844
1,0,0,0,1,1,0,3,8.53203878103546
1,0,0,0,1,0,1,3,1803.8519987969
1,0,0,0,0,1,1,3,8.52729463673733
0,1,1,1,0,0,0,3,70.8748111382117
0,1,1,0,1,0,0,3,1486.55338477008
0,1,1,0,0,1,0,3,70.8384851355953
0,1,1,0,0,0,1,3,1551.14509577959
0,1,0,1,1,0,0,3,71.108283608177
0,1,0,1,0,1,0,3,980.505660308389
0,1,0,1,0,0,1,3,71.2282473603539
0,1,0,0,1,1,0,3,71.0646503752278
0,1,0,0,1,0,1,3,1802.58683143799
0,1,0,0,0,1,1,3,71.1847169325513
0,0,1,1,1,0,0,3,1769.21679674646
0,0,1,1,0,1,0,3,965.684254356387
0,0,1,1,0,0,1,3,3761.02769767911
0,0,1,0,1,1,0,3,1764.7343397585
0,0,1,0,1,0,1,3,1803.97878800786
0,0,1,0,0,1,1,3,3754.76097306571
0,0,0,1,1,1,0,3,964.640251924742
0,0,0,1,1,0,1,3,1967.67880641624
0,0,0,1,0,1,1,3,965.590209185148
0,0,0,0,1,1,1,3,1971.17110887424
1,1,1,1,0,0,0,4,71.6745385675688
1,1,1,0,1,0,0,4,1809.13435937072
1,1,1,0,0,1,0,4,71.6611446335889
1,1,1,0,0,0,1,4,2042.50206625578
1,1,0,1,1,0,0,4,72.0867020409714
1,1,0,1,0,1,0,4,1333.5120004782
1,1,0,1,0,0,1,4,72.113671142439
1,1,0,0,1,1,0,4,72.0705312042872
1,1,0,0,1,0,1,4,1806.308686415
1,1,0,0,0,1,1,4,72.0962892222169
1,0,1,1,1,0,0,4,1900.56365139939
1,0,1,1,0,1,0,4,1286.93723375325
1,0,1,1,0,0,1,4,4022.7400984865
1,0,1,0,1,1,0,4,1898.71888721971
1,0,1,0,1,0,1,4,2042.21450744128
1,0,1,0,0,1,1,4,4031.04233435225
1,0,0,1,1,1,0,4,1284.2192970688
1,0,0,1,1,0,1,4,2017.13579579252
1,0,0,1,0,1,1,4,1287.46540667061
1,0,0,0,1,1,1,4,2020.94189310235
0,1,1,1,1,0,0,4,1771.42335355474
0,1,1,1,0,1,0,4,1023.26445693674
0,1,1,1,0,0,1,4,3805.87482856466
0,1,1,0,1,1,0,4,1766.71960856574
0,1,1,0,1,0,1,4,1810.58534846775
0,1,1,0,0,1,1,4,3796.23337837192
0,1,0,1,1,1,0,4,1031.28875488307
0,1,0,1,1,0,1,4,1968.27965070582
0,1,0,1,0,1,1,4,1024.24667404725
0,1,0,0,1,1,1,4,1971.76634728026
0,0,1,1,1,1,0,4,2252.12503526381
0,0,1,1,1,0,1,4,3875.50766763595
0,0,1,1,0,1,1,4,3781.21657316544
0,0,1,0,1,1,1,4,3878.69088410933
0,0,0,1,1,1,1,4,2497.46056350153
1,1,1,1,1,0,0,5,1910.63089616033
1,1,1,1,0,1,0,5,1368.58114235034
1,1,1,1,0,0,1,5,4114.68296263908
1,1,1,0,1,1,0,5,1908.55146276762
1,1,1,0,1,0,1,5,2042.52595524784
1,1,1,0,0,1,1,5,4120.26604874119
1,1,0,1,1,1,0,5,1375.27051938346
1,1,0,1,1,0,1,5,2017.14622207862
1,1,0,1,0,1,1,5,1367.87768827634
1,1,0,0,1,1,1,5,2020.95764610579
1,0,1,1,1,1,0,5,2276.70373264184
1,0,1,1,1,0,1,5,4060.34740769329
1,0,1,1,0,1,1,5,4106.98106609636
1,0,1,0,1,1,1,5,4072.65348133125
1,0,0,1,1,1,1,5,2676.73626235578
0,1,1,1,1,1,0,5,2410.31223046481
0,1,1,1,1,0,1,5,3918.94023896485
0,1,1,1,0,1,1,5,3860.25584487248
0,1,1,0,1,1,1,5,3918.94825518752
0,1,0,1,1,1,1,5,2587.43098451055
0,0,1,1,1,1,1,5,3887.2047276021
1,1,1,1,1,1,0,6,2466.57951788767
1,1,1,1,1,0,1,6,4145.55750250387
1,1,1,1,0,1,1,6,4154.65335318779
1,1,1,0,1,1,1,6,4154.98317417584
1,1,0,1,1,1,1,6,2838.66927557831
1,0,1,1,1,1,1,6,4343.78505699258
0,1,1,1,1,1,1,6,3918.99565858032
1,1,1,1,1,1,1,7,4345.39580233565
